School Year,County,IRN,District,Homeschool Students
2017-2018 School Year,Mahoning,048363,South Range Local,38
2017-2018 School Year,Portage,049221,Southeast Local,30
2017-2018 School Year,Wayne,050583,Southeast Local,114
2017-2018 School Year,Clark,046276,Southeastern Local,27
2017-2018 School Year,Ross,049528,Southeastern Local,<10
2017-2018 School Year,Columbiana,046441,Southern Local,<10
2017-2018 School Year,Meigs,048538,Southern Local,10
2017-2018 School Year,Perry,049064,Southern Local,18
2017-2018 School Year,Trumbull,050237,Southington Local,<10
2017-2018 School Year,Licking,048041,Southwest Licking Local,158
2017-2018 School Year,Franklin,044800,South-Western City,462
2017-2018 School Year,Allen,045807,Spencerville Local,17
2017-2018 School Year,Warren,050427,Springboro Community City,288
2017-2018 School Year,Clark,044818,Springfield City School District,92
2017-2018 School Year,Lucas,048223,Springfield Local,109
2017-2018 School Year,Mahoning,048371,Springfield Local,<10
2017-2018 School Year,Summit,050062,Springfield Local,<10
2017-2018 School Year,Clark,051532,Springfield-Clark County,<10
2017-2018 School Year,Hamilton,044719,St Bernard-Elmwood Place City,12
2017-2018 School Year,Belmont,045997,St Clairsville-Richland City,35
2017-2018 School Year,Mercer,048587,St Henry Consolidated Local,<10
2017-2018 School Year,Auglaize,044727,St Marys City,34
2017-2018 School Year,Stark,062026,Stark County Area,<10
2017-2018 School Year,Stark,049825,Stark County ESC,<10
2017-2018 School Year,Jefferson,044826,Steubenville City,55
2017-2018 School Year,Summit,044834,Stow-Munroe Falls City School District,65
2017-2018 School Year,Tuscarawas,050294,Strasburg-Franklin Local,14
2017-2018 School Year,Portage,049239,Streetsboro City,48
2017-2018 School Year,Cuyahoga,044842,Strongsville City,89
2017-2018 School Year,Mahoning,044859,Struthers City,16
2017-2018 School Year,Williams,050658,Stryker Local,22
2017-2018 School Year,Fulton,047092,Swanton Local,60
2017-2018 School Year,Monroe,048652,Switzerland of Ohio Local,35
2017-2018 School Year,Hamilton,044867,Sycamore Community City,69
2017-2018 School Year,Lucas,044875,Sylvania Schools,122
2017-2018 School Year,Lawrence,047969,Symmes Valley Local,<10
2017-2018 School Year,Butler,046151,Talawanda City,150
2017-2018 School Year,Summit,044883,Tallmadge City,23
2017-2018 School Year,Pickaway,049098,Teays Valley Local,97
2017-2018 School Year,Hamilton,047399,Three Rivers Local,42
2017-2018 School Year,Seneca,044891,Tiffin City Schools,31
2017-2018 School Year,Miami,045617,Tipp City Exempted Village,45
2017-2018 School Year,Lucas,044909,Toledo City,481
2017-2018 School Year,Jefferson,044917,Toronto City,22
2017-2018 School Year,Champaign,046201,Triad Local,44
2017-2018 School Year,Wayne,050526,Tri-County ESC,<10
2017-2018 School Year,Preble,091397,Tri-County North Local,40
2017-2018 School Year,Athens,045922,Trimble Local,<10
2017-2018 School Year,Marion,065268,Tri-Rivers,<10
2017-2018 School Year,Muskingum,048876,Tri-Valley Local,18
2017-2018 School Year,Darke,046680,Tri-Village Local,32
2017-2018 School Year,Wayne,050591,Triway Local,54
2017-2018 School Year,Montgomery,048694,Trotwood-Madison City,35
2017-2018 School Year,Miami,044925,Troy City,170
2017-2018 School Year,Tuscarawas,050302,Tuscarawas Valley Local,29
2017-2018 School Year,Stark,049957,Tuslaw Local,54
2017-2018 School Year,Preble,049296,Twin Valley Community Local,95
2017-2018 School Year,Summit,050070,Twinsburg City,59
2017-2018 School Year,Belmont,046011,Union Local,24
2017-2018 School Year,Ross,049536,Union-Scioto Local,20
2017-2018 School Year,Columbiana,046458,United Local,34
2017-2018 School Year,Franklin,044933,Upper Arlington City,51
2017-2018 School Year,Wyandot,045625,Upper Sandusky Exempted Village,48
2017-2018 School Year,Hardin,047522,Upper Scioto Valley Local,25
2017-2018 School Year,Champaign,044941,Urbana City,35
2017-2018 School Year,Scioto,049643,Valley Local,15
2017-2018 School Year,Hancock,047464,Van Buren Local,14
2017-2018 School Year,Van Wert,044966,Van Wert City,44
2017-2018 School Year,Montgomery,044958,Vandalia-Butler City,105
2017-2018 School Year,Hancock,047472,Vanlue Local,<10
2017-2018 School Year,Van Wert,051672,Vantage Career Center,<10
2017-2018 School Year,Erie,046821,Vermilion Local,<10
2017-2018 School Year,Darke,045633,Versailles Exempted Village,26
2017-2018 School Year,Vinton,050393,Vinton County Local,63
2017-2018 School Year,Medina,044974,Wadsworth City,138
2017-2018 School Year,Fairfield,046904,Walnut Township Local,15
2017-2018 School Year,Auglaize,044982,Wapakoneta City,34
2017-2018 School Year,Trumbull,044990,Warren City,18
2017-2018 School Year,Washington,050500,Warren Local,37
2017-2018 School Year,Cuyahoga,045005,Warrensville Heights City,<10
2017-2018 School Year,Fayette,045013,Washington Court House City,19
2017-2018 School Year,Lucas,048231,Washington Local,38
2017-2018 School Year,Scioto,049650,Washington-Nile Local,10
2017-2018 School Year,Portage,049247,Waterloo Local,63
2017-2018 School Year,Fulton,045641,Wauseon Exempted Village,34
2017-2018 School Year,Warren,050468,Wayne Local,84
2017-2018 School Year,Paulding,049031,Wayne Trace Local,33
2017-2018 School Year,Auglaize,045971,Waynesfield-Goshen Local,16
2017-2018 School Year,Trumbull,050252,Weathersfield Local,<10
2017-2018 School Year,Lorain,045658,Wellington Exempted Village,50
2017-2018 School Year,Jackson,045021,Wellston City,<10
2017-2018 School Year,Columbiana,045039,Wellsville Local,<10
2017-2018 School Year,Mahoning,048389,West Branch Local,62
2017-2018 School Year,Montgomery,045054,West Carrollton City,81
2017-2018 School Year,Clermont,046359,West Clermont Local,322
2017-2018 School Year,Geauga,047225,West Geauga Local,33
2017-2018 School Year,Holmes,047696,West Holmes Local,196
2017-2018 School Year,Champaign,046219,West Liberty-Salem Local,45
2017-2018 School Year,Muskingum,048884,West Muskingum Local,80
2017-2018 School Year,Brown,046060,Western Brown Local,58
2017-2018 School Year,Pike,049155,Western Local,15
2017-2018 School Year,Huron,047746,Western Reserve Local,21
2017-2018 School Year,Mahoning,048397,Western Reserve Local,<10
2017-2018 School Year,Franklin,045047,Westerville City,351
2017-2018 School Year,Pickaway,049106,Westfall Local,54
2017-2018 School Year,Cuyahoga,045062,Westlake City,15
2017-2018 School Year,Scioto,049668,Wheelersburg Local,<10
2017-2018 School Year,Franklin,045070,Whitehall City,21
2017-2018 School Year,Lake,045088,Wickliffe City,11
2017-2018 School Year,Huron,045096,Willard City,52
2017-2018 School Year,Clermont,046367,Williamsburg Local,60
2017-2018 School Year,Lake,045104,Willoughby-Eastlake City,74
2017-2018 School Year,Clinton,045112,Wilmington City,127
2017-2018 School Year,Portage,045666,Windham Exempted Village,<10
2017-2018 School Year,Hamilton,044081,Winton Woods City,90
2017-2018 School Year,Washington,050518,Wolf Creek Local,<10
2017-2018 School Year,Wood,050666,Wood County ESC,<10
2017-2018 School Year,Sandusky,049577,Woodmore Local,10
2017-2018 School Year,Summit,049973,Woodridge Local,41
2017-2018 School Year,Wayne,045120,Wooster City,73
2017-2018 School Year,Franklin,045138,Worthington City,164
2017-2018 School Year,Crawford,046524,Wynford Local,30
2017-2018 School Year,Hamilton,045146,Wyoming City,10
2017-2018 School Year,Greene,045674,Yellow Springs Exempted Village,16
2017-2018 School Year,Mahoning,045161,Youngstown City,50
2017-2018 School Year,Ross,049544,Zane Trace Local,38
2017-2018 School Year,Muskingum,045179,Zanesville City,46
