School Year,County,IRN,District,Homeschool Students
2017-2018 School Year,Lorain,048140,Columbia Local,<10
2017-2018 School Year,Columbiana,050906,Columbiana County,<10
2017-2018 School Year,Columbiana,045328,Columbiana Exempted Village,18
2017-2018 School Year,Franklin,043802,Columbus City Schools District,629
2017-2018 School Year,Putnam,049312,Columbus Grove Local,32
2017-2018 School Year,Ashtabula,043810,Conneaut Area City,40
2017-2018 School Year,Harrison,047548,Conotton Valley Union Local,11
2017-2018 School Year,Putnam,049320,Continental Local,<10
2017-2018 School Year,Hancock,047431,Cory-Rawson Local,35
2017-2018 School Year,Coshocton,043828,Coshocton City,33
2017-2018 School Year,Coshocton,065227,Coshocton County,<10
2017-2018 School Year,Summit,049999,Coventry Local,<10
2017-2018 School Year,Miami,045336,Covington Exempted Village,80
2017-2018 School Year,Crawford,045344,Crestline Exempted Village,<10
2017-2018 School Year,Columbiana,046433,Crestview Local,17
2017-2018 School Year,Richland,049429,Crestview Local,51
2017-2018 School Year,Van Wert,050351,Crestview Local,22
2017-2018 School Year,Portage,049189,Crestwood Local,<10
2017-2018 School Year,Perry,045351,Crooksville Exempted Village,19
2017-2018 School Year,Summit,043836,Cuyahoga Falls City,132
2017-2018 School Year,Cuyahoga,046557,Cuyahoga Heights Local,16
2017-2018 School Year,Cuyahoga,050922,Cuyahoga Valley Career Center,<10
2017-2018 School Year,Wayne,050542,Dalton Local,70
2017-2018 School Year,Ottawa,048934,Danbury Local,<10
2017-2018 School Year,Knox,047837,Danville Local,<10
2017-2018 School Year,Lawrence,047928,Dawson-Bryant Local,14
2017-2018 School Year,Montgomery,043844,Dayton City,329
2017-2018 School Year,Hamilton,043851,Deer Park Community City,34
2017-2018 School Year,Defiance,043869,Defiance City,<10
2017-2018 School Year,Delaware,050989,Delaware Area Career Center,<10
2017-2018 School Year,Delaware,043877,Delaware City,213
2017-2018 School Year,Allen,043885,Delphos City,18
2017-2018 School Year,Tuscarawas,043893,Dover City,54
2017-2018 School Year,Franklin,047027,Dublin City,146
2017-2018 School Year,Cuyahoga,043901,East Cleveland City School District,<10
2017-2018 School Year,Clinton,046409,East Clinton Local,30
2017-2018 School Year,Guernsey,069682,East Guernsey Local,28
2017-2018 School Year,Holmes,047688,East Holmes Local,126
2017-2018 School Year,Knox,047845,East Knox Local,84
2017-2018 School Year,Columbiana,043919,East Liverpool City,29
2017-2018 School Year,Muskingum,048835,East Muskingum Local,73
2017-2018 School Year,Columbiana,043927,East Palestine City,20
2017-2018 School Year,Meigs,048512,Eastern Local,15
2017-2018 School Year,Brown,046037,Eastern Local School District,63
2017-2018 School Year,Franklin,051003,Eastland-Fairfield Career & Technical Schools,<10
2017-2018 School Year,Wood,050674,Eastwood Local,56
2017-2018 School Year,Preble,043935,Eaton Community City,90
2017-2018 School Year,Williams,050617,Edgerton Local,18
2017-2018 School Year,Butler,046094,Edgewood City School District,57
2017-2018 School Year,Jefferson,047795,Edison Local,62
2017-2018 School Year,Erie,046789,Edison Local (formerly Berlin-Milan),21
2017-2018 School Year,Williams,050625,Edon Northwest Local,38
2017-2018 School Year,Erie,051029,Ehove Career Center,<10
2017-2018 School Year,Marion,048413,Elgin Local,<10
2017-2018 School Year,Allen,045773,Elida Local,77
2017-2018 School Year,Wood,050682,Elmwood Local,20
2017-2018 School Year,Lorain,043943,Elyria City Schools,103
2017-2018 School Year,Lucas,048199,ESC of Lake Erie West,<10
2017-2018 School Year,Cuyahoga,043950,Euclid City,<10
2017-2018 School Year,Fulton,047050,Evergreen Local,56
2017-2018 School Year,Union,050328,Fairbanks Local,107
2017-2018 School Year,Greene,043968,Fairborn City,180
2017-2018 School Year,Butler,046102,Fairfield City,243
2017-2018 School Year,Highland,047621,Fairfield Local,16
2017-2018 School Year,Fairfield,046870,Fairfield Union Local,62
2017-2018 School Year,Lawrence,047936,Fairland Local,<10
2017-2018 School Year,Stark,049841,Fairless Local,39
2017-2018 School Year,Cuyahoga,043976,Fairview Park City,<10
2017-2018 School Year,Fulton,047068,Fayette Local,<10
2017-2018 School Year,Brown,046045,Fayetteville-Perry Local,29
2017-2018 School Year,Athens,045914,Federal Hocking Local,<10
2017-2018 School Year,Portage,049197,Field Local,69
2017-2018 School Year,Hancock,043984,Findlay City,103
2017-2018 School Year,Hamilton,047332,Finneytown Local,42
2017-2018 School Year,Lorain,048157,Firelands Local,29
2017-2018 School Year,Hamilton,047340,Forest Hills Local,23
2017-2018 School Year,Washington,050484,Fort Frye Local,33
2017-2018 School Year,Shelby,049783,Fort Loramie Local,13
2017-2018 School Year,Mercer,048595,Fort Recovery Local,14
2017-2018 School Year,Seneca,043992,Fostoria City,14
2017-2018 School Year,Henry,050963,Four County Career Center,<10
