School Year,County,IRN,District,Homeschool Students
2022-2023 School Year,Cuyahoga,043794,Cleveland Heights-University Heights City,72
2022-2023 School Year,Cuyahoga,043786,Cleveland Municipal,234
2022-2023 School Year,Clinton,046391,Clinton-Massie Local,100
2022-2023 School Year,Medina,048488,Cloverleaf Local,149
2022-2023 School Year,Sandusky,045302,Clyde-Green Springs Exempted Village,57
2022-2023 School Year,Mercer,045310,Coldwater Exempted Village,23
2022-2023 School Year,Crawford,046516,Colonel Crawford Local,44
2022-2023 School Year,Lorain,048140,Columbia Local,29
2022-2023 School Year,Columbiana,045328,Columbiana Exempted Village,40
2022-2023 School Year,Franklin,043802,Columbus City Schools District,1146
2022-2023 School Year,Putnam,049312,Columbus Grove Local,37
2022-2023 School Year,Ashtabula,043810,Conneaut Area City,93
2022-2023 School Year,Harrison,047548,Conotton Valley Union Local,23
2022-2023 School Year,Putnam,049320,Continental Local,23
2022-2023 School Year,Summit,049981,Copley-Fairlawn City,85
2022-2023 School Year,Hancock,047431,Cory-Rawson Local,56
2022-2023 School Year,Coshocton,043828,Coshocton City,35
2022-2023 School Year,Summit,049999,Coventry Local,23
2022-2023 School Year,Miami,045336,Covington Exempted Village,65
2022-2023 School Year,Crawford,045344,Crestline Exempted Village,<10
2022-2023 School Year,Columbiana,046433,Crestview Local,52
2022-2023 School Year,Richland,049429,Crestview Local,61
2022-2023 School Year,Van Wert,050351,Crestview Local,35
2022-2023 School Year,Portage,049189,Crestwood Local,79
2022-2023 School Year,Perry,045351,Crooksville Exempted Village,15
2022-2023 School Year,Summit,043836,Cuyahoga Falls City,136
2022-2023 School Year,Cuyahoga,046557,Cuyahoga Heights Local,<10
2022-2023 School Year,Wayne,050542,Dalton Local,105
2022-2023 School Year,Ottawa,048934,Danbury Local,11
2022-2023 School Year,Knox,047837,Danville Local,54
2022-2023 School Year,Lawrence,047928,Dawson-Bryant Local,30
2022-2023 School Year,Montgomery,043844,Dayton City,329
2022-2023 School Year,Hamilton,043851,Deer Park Community City,34
2022-2023 School Year,Defiance,043869,Defiance City,122
2022-2023 School Year,Delaware,043877,Delaware City,261
2022-2023 School Year,Allen,043885,Delphos City,39
2022-2023 School Year,Tuscarawas,043893,Dover City,82
2022-2023 School Year,Franklin,047027,Dublin City,198
2022-2023 School Year,Cuyahoga,043901,East Cleveland City School District,<10
2022-2023 School Year,Clinton,046409,East Clinton Local,49
2022-2023 School Year,Guernsey,069682,East Guernsey Local,26
2022-2023 School Year,Holmes,047688,East Holmes Local,136
2022-2023 School Year,Knox,047845,East Knox Local,96
2022-2023 School Year,Columbiana,043919,East Liverpool City,42
2022-2023 School Year,Muskingum,048835,East Muskingum Local,89
2022-2023 School Year,Columbiana,043927,East Palestine City,41
2022-2023 School Year,Meigs,048512,Eastern Local,30
2022-2023 School Year,Brown,046037,Eastern Local School District,54
2022-2023 School Year,Wood,050674,Eastwood Local,68
2022-2023 School Year,Preble,043935,Eaton Community City,165
2022-2023 School Year,Williams,050617,Edgerton Local,32
2022-2023 School Year,Butler,046094,Edgewood City School District,80
2022-2023 School Year,Jefferson,047795,Edison Local,40
2022-2023 School Year,Erie,046789,Edison Local (formerly Berlin-Milan),42
2022-2023 School Year,Williams,050625,Edon Northwest Local,39
2022-2023 School Year,Marion,048413,Elgin Local,30
2022-2023 School Year,Allen,045773,Elida Local,122
2022-2023 School Year,Wood,050682,Elmwood Local,30
2022-2023 School Year,Lorain,043943,Elyria City Schools,151
2022-2023 School Year,Cuyahoga,043950,Euclid City,74
2022-2023 School Year,Fulton,047050,Evergreen Local,73
2022-2023 School Year,Union,050328,Fairbanks Local,103
2022-2023 School Year,Greene,043968,Fairborn City,304
2022-2023 School Year,Butler,046102,Fairfield City,361
2022-2023 School Year,Highland,047621,Fairfield Local,22
2022-2023 School Year,Fairfield,046870,Fairfield Union Local,118
2022-2023 School Year,Lawrence,047936,Fairland Local,53
2022-2023 School Year,Shelby,049775,Fairlawn Local,<10
2022-2023 School Year,Stark,049841,Fairless Local,66
2022-2023 School Year,Lake,045369,Fairport Harbor Exempted Village,15
2022-2023 School Year,Cuyahoga,043976,Fairview Park City,42
2022-2023 School Year,Fulton,047068,Fayette Local,<10
2022-2023 School Year,Brown,046045,Fayetteville-Perry Local,47
2022-2023 School Year,Clermont,046334,Felicity-Franklin Local,62
2022-2023 School Year,Portage,049197,Field Local,78
2022-2023 School Year,Hancock,043984,Findlay City,183
2022-2023 School Year,Hamilton,047332,Finneytown Local,68
2022-2023 School Year,Lorain,048157,Firelands Local,66
2022-2023 School Year,Hamilton,047340,Forest Hills Local,211
2022-2023 School Year,Washington,050484,Fort Frye Local,37
2022-2023 School Year,Shelby,049783,Fort Loramie Local,<10
2022-2023 School Year,Mercer,048595,Fort Recovery Local,22
2022-2023 School Year,Seneca,043992,Fostoria City,20
2022-2023 School Year,Warren,044008,Franklin City,158
2022-2023 School Year,Muskingum,048843,Franklin Local,88
2022-2023 School Year,Darke,046649,Franklin Monroe Local,77
2022-2023 School Year,Knox,047852,Fredericktown Local,61
2022-2023 School Year,Sandusky,044016,Fremont City,106
2022-2023 School Year,Washington,050492,Frontier Local,20
2022-2023 School Year,Franklin,046961,Gahanna-Jefferson City,206
2022-2023 School Year,Crawford,044024,Galion City,56
2022-2023 School Year,Gallia,065680,Gallia County Local,164
2022-2023 School Year,Gallia,044032,Gallipolis City,73
2022-2023 School Year,Tuscarawas,050278,Garaway Local,144
2022-2023 School Year,Cuyahoga,044040,Garfield Heights City Schools,46
2022-2023 School Year,Ashtabula,044057,Geneva Area City,110
2022-2023 School Year,Ottawa,048942,Genoa Area Local,39
2022-2023 School Year,Brown,045377,Georgetown Exempted Village,27
2022-2023 School Year,Sandusky,045385,Gibsonburg Exempted Village,35
2022-2023 School Year,Trumbull,044065,Girard City School District,18
2022-2023 School Year,Clermont,046342,Goshen Local,143
2022-2023 School Year,Champaign,046193,Graham Local,138
2022-2023 School Year,Ashtabula,045864,Grand Valley Local,74
2022-2023 School Year,Franklin,044073,Grandview Heights Schools,<10
2022-2023 School Year,Licking,045393,Granville Exempted Village,91
2022-2023 School Year,Scioto,049619,Green Local,21
2022-2023 School Year,Summit,050013,Green Local,134
2022-2023 School Year,Wayne,050559,Green Local,134
2022-2023 School Year,Greene,047266,Greeneview Local,102
2022-2023 School Year,Highland,045401,Greenfield Exempted Village,58
2022-2023 School Year,Clark,046235,Greenon Local,81
2022-2023 School Year,Darke,044099,Greenville City,199
2022-2023 School Year,Franklin,046979,Groveport Madison Local,148
2022-2023 School Year,Butler,044107,Hamilton City,228
2022-2023 School Year,Franklin,046953,Hamilton Local,46
2022-2023 School Year,Hardin,047498,Hardin Northern Local,16
2022-2023 School Year,Shelby,049791,Hardin-Houston Local,41
2022-2023 School Year,Harrison,045245,Harrison Hills City,51
2022-2023 School Year,Licking,044115,Heath City,25
2022-2023 School Year,Defiance,045419,Hicksville Exempted Village School District,50
2022-2023 School Year,Medina,048496,Highland Local,132
2022-2023 School Year,Morrow,048801,Highland Local,115
2022-2023 School Year,Franklin,047019,Hilliard City,323
2022-2023 School Year,Highland,044123,Hillsboro City,124
2022-2023 School Year,Ashland,045823,Hillsdale Local,105
2022-2023 School Year,Henry,047571,Holgate Local,22
2022-2023 School Year,Seneca,049700,Hopewell-Loudon Local,16
2022-2023 School Year,Trumbull,050161,Howland Local,64
2022-2023 School Year,Trumbull,045427,Hubbard Exempted Village,31
2022-2023 School Year,Montgomery,048751,Huber Heights City,249
2022-2023 School Year,Summit,050021,Hudson City,76
2022-2023 School Year,Ross,049502,Huntington Local,<10
2022-2023 School Year,Erie,044131,Huron City Schools,36
2022-2023 School Year,Cuyahoga,046565,Independence Local,19
2022-2023 School Year,Jefferson,047803,Indian Creek Local,32
2022-2023 School Year,Hamilton,045435,Indian Hill Exempted Village,22
2022-2023 School Year,Logan,048082,Indian Lake Local,78
2022-2023 School Year,Tuscarawas,050286,Indian Valley Local,49
2022-2023 School Year,Lawrence,044149,Ironton City School District,18
2022-2023 School Year,Shelby,049809,Jackson Center Local,10
2022-2023 School Year,Jackson,044156,Jackson City,71
2022-2023 School Year,Stark,049858,Jackson Local,152
2022-2023 School Year,Mahoning,048322,Jackson-Milton Local,31
2022-2023 School Year,Portage,049205,James A Garfield Local,66
2022-2023 School Year,Ashtabula,045872,Jefferson Area Local,113
2022-2023 School Year,Madison,048256,Jefferson Local,34
2022-2023 School Year,Montgomery,048686,Jefferson Township Local,<10
2022-2023 School Year,Putnam,049338,Jennings Local,<10
2022-2023 School Year,Licking,047985,Johnstown-Monroe Local,110
2022-2023 School Year,Madison,048264,Jonathan Alder Local,107
2022-2023 School Year,Trumbull,050179,Joseph Badger Local,48
2022-2023 School Year,Putnam,049346,Kalida Local,<10
2022-2023 School Year,Erie,046797,Kelleys Island Local,<10
2022-2023 School Year,Geauga,047191,Kenston Local,67
2022-2023 School Year,Portage,044164,Kent City,55
2022-2023 School Year,Hardin,044172,Kenton City,45
2022-2023 School Year,Montgomery,044180,Kettering City School District,234
2022-2023 School Year,Lorain,048165,Keystone Local,55
2022-2023 School Year,Warren,050435,Kings Local,138
2022-2023 School Year,Lake,047878,Kirtland Local,17
2022-2023 School Year,Trumbull,050245,LaBrae Local,39
2022-2023 School Year,Stark,049866,Lake Local,<10
2022-2023 School Year,Wood,050690,Lake Local,67
2022-2023 School Year,Trumbull,050187,Lakeview Local,39
2022-2023 School Year,Cuyahoga,044198,Lakewood City,75
2022-2023 School Year,Licking,047993,Lakewood Local,102
2022-2023 School Year,Butler,046110,Lakota Local,588
2022-2023 School Year,Sandusky,049569,Lakota Local,27
2022-2023 School Year,Fairfield,044206,Lancaster City,211
2022-2023 School Year,Warren,044214,Lebanon City,371
2022-2023 School Year,Columbiana,045443,Leetonia Exempted Village School District,29
2022-2023 School Year,Putnam,049353,Leipsic Local,<10
2022-2023 School Year,Richland,049437,Lexington Local,117
2022-2023 School Year,Henry,047589,Liberty Center Local,34
2022-2023 School Year,Trumbull,050195,Liberty Local,37
2022-2023 School Year,Fairfield,046888,Liberty Union-Thurston Local,67
2022-2023 School Year,Hancock,047449,Liberty-Benton Local,47
2022-2023 School Year,Licking,048009,Licking Heights Local,31
2022-2023 School Year,Licking,048017,Licking Valley Local,97
2022-2023 School Year,Allen,044222,Lima City,90
2022-2023 School Year,Van Wert,050369,Lincolnview Local,41
2022-2023 School Year,Columbiana,045450,Lisbon Exempted Village,50
2022-2023 School Year,Warren,050443,Little Miami Local,375
2022-2023 School Year,Hamilton,044230,Lockland Local,<10
2022-2023 School Year,Pickaway,049080,Logan Elm Local,150
2022-2023 School Year,Hocking,044248,Logan-Hocking Local,141
2022-2023 School Year,Madison,044255,London City,90
2022-2023 School Year,Lorain,044263,Lorain City,<10
2022-2023 School Year,Trumbull,050203,Lordstown Local,11
2022-2023 School Year,Ashland,045468,Loudonville-Perrysville Exempted Village,73
2022-2023 School Year,Stark,049874,Louisville City,73
2022-2023 School Year,Hamilton,044271,Loveland City,148
2022-2023 School Year,Mahoning,048330,Lowellville Local,15
2022-2023 School Year,Richland,049445,Lucas Local,50
2022-2023 School Year,Highland,047639,Lynchburg-Clay Local,60
2022-2023 School Year,Montgomery,048702,Mad River Local,112
2022-2023 School Year,Hamilton,044289,Madeira City,18
2022-2023 School Year,Butler,046128,Madison Local,35
2022-2023 School Year,Lake,047886,Madison Local,118
2022-2023 School Year,Richland,049452,Madison Local,101
2022-2023 School Year,Madison,048272,Madison-Plains Local,125
2022-2023 School Year,Summit,050005,Manchester Local,56
2022-2023 School Year,Richland,044297,Mansfield City,175
2022-2023 School Year,Cuyahoga,044305,Maple Heights City,33
2022-2023 School Year,Ashland,045831,Mapleton Local,63
2022-2023 School Year,Trumbull,050211,Maplewood Local,29
2022-2023 School Year,Erie,046805,Margaretta Local,32
2022-2023 School Year,Hamilton,044313,Mariemont City,15
2022-2023 School Year,Washington,044321,Marietta City,80
2022-2023 School Year,Marion,044339,Marion City,51
2022-2023 School Year,Stark,049882,Marlington Local,184
2022-2023 School Year,Belmont,044347,Martins Ferry City,40
2022-2023 School Year,Union,045476,Marysville Exempted Village,300
2022-2023 School Year,Warren,050450,Mason City,138
2022-2023 School Year,Stark,044354,Massillon City,139
2022-2023 School Year,Trumbull,050153,Mathews Local,16
2022-2023 School Year,Lucas,044362,Maumee City,34
2022-2023 School Year,Cuyahoga,044370,Mayfield City,49
2022-2023 School Year,Muskingum,048850,Maysville Local,53
2022-2023 School Year,Hancock,047456,McComb Local,30
2022-2023 School Year,Trumbull,050229,McDonald Local,<10
2022-2023 School Year,Champaign,045484,Mechanicsburg Exempted Village,61
2022-2023 School Year,Medina,044388,Medina City SD,248
2022-2023 School Year,Meigs,048520,Meigs Local,75
2022-2023 School Year,Lake,045492,Mentor Exempted Village,191
2022-2023 School Year,Miami,048629,Miami East Local,99
2022-2023 School Year,Fayette,046920,Miami Trace Local,92
2022-2023 School Year,Montgomery,044396,Miamisburg City,186
2022-2023 School Year,Butler,044404,Middletown City,186
2022-2023 School Year,Lorain,048173,Midview Local,77
2022-2023 School Year,Clermont,045500,Milford Exempted Village,332
2022-2023 School Year,Williams,050633,Millcreek-West Unity Local,60
2022-2023 School Year,Putnam,049361,Miller City-New Cleveland Local,29
2022-2023 School Year,Miami,045518,Milton-Union Exempted Village,83
2022-2023 School Year,Stark,049890,Minerva Local,99
2022-2023 School Year,Scioto,049627,Minford Local,29
2022-2023 School Year,Auglaize,045948,Minster Local,22
2022-2023 School Year,Darke,046672,Mississinawa Valley Local,24
2022-2023 School Year,Summit,050039,Mogadore Local,<10
2022-2023 School Year,Wyandot,050740,Mohawk Local,15
2022-2023 School Year,Butler,139303,Monroe Local,93
2022-2023 School Year,Huron,047712,Monroeville Local,10
2022-2023 School Year,Williams,045526,Montpelier Exempted Village,24
2022-2023 School Year,Morgan,048777,Morgan Local,174
2022-2023 School Year,Morrow,045534,Mount Gilead Exempted Village,50
2022-2023 School Year,Knox,044420,Mount Vernon City,249
2022-2023 School Year,Hamilton,044412,Mt Healthy City,34
2022-2023 School Year,Henry,044438,Napoleon Area City,82
2022-2023 School Year,Preble,049270,National Trail Local,77
2022-2023 School Year,Athens,044446,Nelsonville-York City,34
2022-2023 School Year,Franklin,046995,New Albany-Plain Local,39
2022-2023 School Year,Scioto,044461,New Boston Local,10
2022-2023 School Year,Auglaize,045955,New Bremen Local,22
2022-2023 School Year,Auglaize,045963,New Knoxville Local,10
2022-2023 School Year,Montgomery,048710,New Lebanon Local School District,159
2022-2023 School Year,Perry,044479,New Lexington School District,50
2022-2023 School Year,Huron,047720,New London Local,66
2022-2023 School Year,Butler,046136,New Miami Local,21
2022-2023 School Year,Tuscarawas,044487,New Philadelphia City,110
2022-2023 School Year,Clermont,045559,New Richmond Exempted Village,97
2022-2023 School Year,Seneca,049718,New Riegel Local,<10
2022-2023 School Year,Licking,044453,Newark City,286
2022-2023 School Year,Tuscarawas,045542,Newcomerstown Exempted Village,18
2022-2023 School Year,Trumbull,045567,Newton Falls Exempted Village,32
2022-2023 School Year,Miami,048637,Newton Local,92
2022-2023 School Year,Trumbull,044495,Niles City,27
2022-2023 School Year,Noble,048900,Noble Local,35
2022-2023 School Year,Summit,050047,Nordonia Hills City,75
2022-2023 School Year,Wood,050708,North Baltimore Local,18
2022-2023 School Year,Stark,044503,North Canton City,114
2022-2023 School Year,Williams,050641,North Central Local,65
2022-2023 School Year,Hamilton,044511,North College Hill City,23
2022-2023 School Year,Licking,048025,North Fork Local,105
2022-2023 School Year,Cuyahoga,044529,North Olmsted City,57
2022-2023 School Year,Lorain,044537,North Ridgeville City,114
2022-2023 School Year,Cuyahoga,044545,North Royalton City,89
2022-2023 School Year,Union,050336,North Union Local School District,74
2022-2023 School Year,Clark,046250,Northeastern Local,97
2022-2023 School Year,Defiance,046722,Northeastern Local,56
2022-2023 School Year,Perry,049056,Northern Local,<10
2022-2023 School Year,Montgomery,048728,Northmont City,245
2022-2023 School Year,Morrow,048819,Northmor Local,58
2022-2023 School Year,Licking,048033,Northridge Local,131
2022-2023 School Year,Montgomery,048736,Northridge Local,10
2022-2023 School Year,Hamilton,047365,Northwest Local,187
2022-2023 School Year,Scioto,049635,Northwest Local,42
2022-2023 School Year,Stark,049908,Northwest Local,71
2022-2023 School Year,Clark,046268,Northwestern Local,94
2022-2023 School Year,Wayne,050575,Northwestern Local,88
2022-2023 School Year,Wood,050716,Northwood Local Schools,<10
2022-2023 School Year,Summit,044552,Norton City,105
2022-2023 School Year,Huron,044560,Norwalk City,97
2022-2023 School Year,Wayne,050567,Norwayne Local,95
2022-2023 School Year,Hamilton,044578,Norwood City,66
2022-2023 School Year,Jackson,047761,Oak Hill Union Local,22
2022-2023 School Year,Hamilton,047373,Oak Hills Local,158
2022-2023 School Year,Montgomery,044586,Oakwood City,42
2022-2023 School Year,Lorain,044594,Oberlin City Schools,<10
2022-2023 School Year,Seneca,049726,Old Fort Local,<10
2022-2023 School Year,Delaware,046763,Olentangy Local,385
2022-2023 School Year,Cuyahoga,046573,Olmsted Falls City,<10
2022-2023 School Year,Richland,049478,Ontario Local,84
2022-2023 School Year,Cuyahoga,046581,Orange City,13
2022-2023 School Year,Lucas,044602,Oregon City,68
2022-2023 School Year,Wayne,044610,Orrville City,100
2022-2023 School Year,Stark,049916,Osnaburg Local,41
2022-2023 School Year,Wood,050724,Otsego Local,76
2022-2023 School Year,Lucas,048215,Ottawa Hills Local,15
2022-2023 School Year,Putnam,049379,Ottawa-Glandorf Local,18
2022-2023 School Year,Putnam,049387,Ottoville Local,12
2022-2023 School Year,Lake,044628,Painesville City Local,20
2022-2023 School Year,Ross,049510,Paint Valley Local,21
2022-2023 School Year,Putnam,049395,Pandora-Gilboa Local,51
2022-2023 School Year,Mercer,048579,Parkway Local,54
2022-2023 School Year,Cuyahoga,044636,Parma City,<10
2022-2023 School Year,Henry,047597,Patrick Henry Local,22
2022-2023 School Year,Paulding,045575,Paulding Exempted Village,79
2022-2023 School Year,Erie,046813,Perkins Local,25
2022-2023 School Year,Allen,045781,Perry Local,24
2022-2023 School Year,Lake,047902,Perry Local,36
2022-2023 School Year,Stark,049924,Perry Local,82
2022-2023 School Year,Wood,045583,Perrysburg Exempted Village,102
2022-2023 School Year,Fulton,047076,Pettisville Local,13
2022-2023 School Year,Fairfield,046896,Pickerington Local,325
2022-2023 School Year,Fulton,047084,Pike-Delta-York Local,56
2022-2023 School Year,Miami,044644,Piqua City,105
2022-2023 School Year,Stark,049932,Plain Local,<10
2022-2023 School Year,Marion,048421,Pleasant Local,29
2022-2023 School Year,Richland,049460,Plymouth-Shiloh Local,23
2022-2023 School Year,Mahoning,048348,Poland Local,54
2022-2023 School Year,Ottawa,044651,Port Clinton City,25
2022-2023 School Year,Scioto,044669,Portsmouth City,90
2022-2023 School Year,Preble,049288,Preble Shawnee Local,105
2022-2023 School Year,Hamilton,044677,Princeton City,168
2022-2023 School Year,Ottawa,048975,Put-In-Bay Local,<10
2022-2023 School Year,Ashtabula,045880,Pymatuning Valley Local,46
2022-2023 School Year,Portage,044685,Ravenna City,58
2022-2023 School Year,Hamilton,044693,Reading Community City,21
2022-2023 School Year,Summit,050054,Revere Local,90
2022-2023 School Year,Franklin,047001,Reynoldsburg City,136
2022-2023 School Year,Cuyahoga,046599,Richmond Heights Local,<10
2022-2023 School Year,Marion,048439,Ridgedale Local,25
2022-2023 School Year,Hardin,047506,Ridgemont Local,26
2022-2023 School Year,Coshocton,046474,Ridgewood Local,50
2022-2023 School Year,Brown,046078,Ripley-Union-Lewis-Huntington Local,18
2022-2023 School Year,Wayne,045591,Rittman Exempted Village,43
2022-2023 School Year,Marion,048447,River Valley Local,57
2022-2023 School Year,Coshocton,046482,River View Local,200
2022-2023 School Year,Hancock,047514,Riverdale Local,56
2022-2023 School Year,Lake,047894,Riverside Local,138
2022-2023 School Year,Logan,048090,Riverside Local,21
2022-2023 School Year,Lawrence,047944,Rock Hill Local,28
2022-2023 School Year,Cuyahoga,044701,Rocky River City,14
2022-2023 School Year,Guernsey,047308,Rolling Hills Local,50
2022-2023 School Year,Portage,049213,Rootstown Local,33
2022-2023 School Year,Butler,046144,Ross Local,65
2022-2023 School Year,Wood,045609,Rossford Exempted Village,<10
2022-2023 School Year,Shelby,049817,Russia Local,21
2022-2023 School Year,Columbiana,044735,Salem City,49
2022-2023 School Year,Erie,044743,Sandusky City,16
2022-2023 School Year,Stark,049940,Sandy Valley Local,23
2022-2023 School Year,Mahoning,048355,Sebring Local,<10
2022-2023 School Year,Seneca,049684,Seneca East Local,24
2022-2023 School Year,Belmont,046003,Shadyside Local,<10
2022-2023 School Year,Cuyahoga,044750,Shaker Heights City,<10
2022-2023 School Year,Allen,045799,Shawnee Local,88
2022-2023 School Year,Lorain,044768,Sheffield-Sheffield Lake City,44
2022-2023 School Year,Richland,044776,Shelby City,75
2022-2023 School Year,Shelby,044784,Sidney City,90
2022-2023 School Year,Cuyahoga,046607,Solon City,33
2022-2023 School Year,Huron,047738,South Central Local,53
2022-2023 School Year,Cuyahoga,044792,South Euclid-Lyndhurst City,93
2022-2023 School Year,Lawrence,047951,South Point Local,22
2022-2023 School Year,Mahoning,048363,South Range Local,41
2022-2023 School Year,Portage,049221,Southeast Local,71
2022-2023 School Year,Wayne,050583,Southeast Local,153
2022-2023 School Year,Clark,046276,Southeastern Local,40
2022-2023 School Year,Ross,049528,Southeastern Local,19
2022-2023 School Year,Columbiana,046441,Southern Local,27
2022-2023 School Year,Meigs,048538,Southern Local,25
2022-2023 School Year,Perry,049064,Southern Local,30
2022-2023 School Year,Trumbull,050237,Southington Local,25
2022-2023 School Year,Licking,048041,Southwest Licking Local,223
2022-2023 School Year,Hamilton,047381,Southwest Local,<10
2022-2023 School Year,Allen,045807,Spencerville Local,52
