School Year,County,IRN,District,Homeschool Students
2022-2023 School Year,Hardin,045187,Ada Exempted Village,30
2022-2023 School Year,Adams,061903,Adams County Ohio Valley Local,228
2022-2023 School Year,Ross,049494,Adena Local,34
2022-2023 School Year,Summit,043489,Akron City,373
2022-2023 School Year,Athens,045906,Alexander Local,89
2022-2023 School Year,Allen,045757,Allen East Local,47
2022-2023 School Year,Stark,043497,Alliance City,69
2022-2023 School Year,Fairfield,046847,Amanda-Clearcreek Local,68
2022-2023 School Year,Lorain,045195,Amherst Exempted Village,77
2022-2023 School Year,Shelby,049759,Anna Local,24
2022-2023 School Year,Darke,046623,Ansonia Local,12
2022-2023 School Year,Lucas,048207,Anthony Wayne Local,<10
2022-2023 School Year,Paulding,048991,Antwerp Local,28
2022-2023 School Year,Hancock,047415,Arcadia Local,20
2022-2023 School Year,Darke,046631,Arcanum-Butler Local,49
2022-2023 School Year,Fulton,047043,Archbold-Area Local,<10
2022-2023 School Year,Hancock,047423,Arlington Local,40
2022-2023 School Year,Ashland,043505,Ashland City,195
2022-2023 School Year,Ashtabula,043513,Ashtabula Area City,95
2022-2023 School Year,Athens,043521,Athens City,82
2022-2023 School Year,Portage,049171,Aurora City,34
2022-2023 School Year,Mahoning,048298,Austintown Local Schools,59
2022-2023 School Year,Lorain,048124,Avon Lake City,36
2022-2023 School Year,Lorain,048116,Avon Local,51
2022-2023 School Year,Defiance,046706,Ayersville Local,23
2022-2023 School Year,Summit,043539,Barberton City,28
2022-2023 School Year,Belmont,045203,Barnesville Exempted Village,16
2022-2023 School Year,Clermont,046300,Batavia Local,103
2022-2023 School Year,Allen,045765,Bath Local,46
2022-2023 School Year,Cuyahoga,043547,Bay Village City,41
2022-2023 School Year,Cuyahoga,043554,Beachwood City,12
2022-2023 School Year,Columbiana,046425,Beaver Local,55
2022-2023 School Year,Greene,047241,Beavercreek City,499
2022-2023 School Year,Cuyahoga,043562,Bedford City,62
2022-2023 School Year,Belmont,043570,Bellaire Local,10
2022-2023 School Year,Greene,047274,Bellbrook-Sugarcreek Local,182
2022-2023 School Year,Logan,043588,Bellefontaine City,72
2022-2023 School Year,Huron,043596,Bellevue City,62
2022-2023 School Year,Washington,043604,Belpre City,32
2022-2023 School Year,Logan,048074,Benjamin Logan Local,125
2022-2023 School Year,Cuyahoga,043612,Berea City,125
2022-2023 School Year,Geauga,047167,Berkshire Local,156
2022-2023 School Year,Fairfield,046854,Berne Union Local,39
2022-2023 School Year,Miami,048611,Bethel Local,103
2022-2023 School Year,Clermont,046318,Bethel-Tate Local,88
2022-2023 School Year,Franklin,043620,Bexley City,19
2022-2023 School Year,Delaware,046748,Big Walnut Local,233
2022-2023 School Year,Medina,048462,Black River Local,109
2022-2023 School Year,Fairfield,046862,Bloom-Carroll Local,124
2022-2023 School Year,Trumbull,050096,Bloomfield-Mespo Local,52
2022-2023 School Year,Scioto,049593,Bloom-Vernon Local,11
2022-2023 School Year,Allen,045211,Bluffton Exempted Village,69
2022-2023 School Year,Mahoning,048306,Boardman Local,82
2022-2023 School Year,Shelby,049767,Botkins Local,14
2022-2023 School Year,Wood,043638,Bowling Green City School District,<10
2022-2023 School Year,Miami,045229,Bradford Exempted Village,52
2022-2023 School Year,Cuyahoga,043646,Brecksville-Broadview Heights City,57
2022-2023 School Year,Belmont,045237,Bridgeport Exempted Village,13
2022-2023 School Year,Highland,047613,Bright Local,26
2022-2023 School Year,Trumbull,050112,Bristol Local,55
2022-2023 School Year,Trumbull,050120,Brookfield Local,27
2022-2023 School Year,Cuyahoga,043653,Brooklyn City,15
2022-2023 School Year,Montgomery,048678,Brookville Local,103
2022-2023 School Year,Carroll,046177,Brown Local,23
2022-2023 School Year,Medina,043661,Brunswick City,91
2022-2023 School Year,Williams,043679,Bryan City,97
2022-2023 School Year,Crawford,046508,Buckeye Central Local,19
2022-2023 School Year,Ashtabula,045856,Buckeye Local,43
2022-2023 School Year,Jefferson,047787,Buckeye Local,42
2022-2023 School Year,Medina,048470,Buckeye Local,90
2022-2023 School Year,Delaware,046755,Buckeye Valley Local,188
2022-2023 School Year,Crawford,043687,Bucyrus City,21
2022-2023 School Year,Noble,045252,Caldwell Exempted Village,30
2022-2023 School Year,Guernsey,043695,Cambridge City,34
2022-2023 School Year,Mahoning,043703,Campbell City,<10
2022-2023 School Year,Franklin,046946,Canal Winchester Local,122
2022-2023 School Year,Mahoning,048314,Canfield Local,61
2022-2023 School Year,Stark,043711,Canton City,135
2022-2023 School Year,Stark,049833,Canton Local,59
2022-2023 School Year,Geauga,047175,Cardinal Local,115
2022-2023 School Year,Morrow,048793,Cardington-Lincoln Local,50
2022-2023 School Year,Wyandot,045260,Carey Exempted Village Schools,17
2022-2023 School Year,Warren,050419,Carlisle Local,69
2022-2023 School Year,Carroll,045278,Carrollton Exempted Village,104
2022-2023 School Year,Greene,047258,Cedar Cliff Local,164
2022-2023 School Year,Mercer,043729,Celina City,121
2022-2023 School Year,Knox,047829,Centerburg Local,91
2022-2023 School Year,Montgomery,043737,Centerville City,254
2022-2023 School Year,Defiance,046714,Central Local,<10
2022-2023 School Year,Cuyahoga,045286,Chagrin Falls Exempted Village,20
2022-2023 School Year,Trumbull,050138,Champion Local,48
2022-2023 School Year,Geauga,047183,Chardon Local,207
2022-2023 School Year,Lawrence,045294,Chesapeake Union Exempted Village,32
2022-2023 School Year,Ross,043745,Chillicothe City,68
2022-2023 School Year,Wayne,050534,Chippewa Local,73
2022-2023 School Year,Hamilton,043752,Cincinnati Public Schools,598
2022-2023 School Year,Pickaway,043760,Circleville City,57
2022-2023 School Year,Clark,046284,Clark-Shawnee Local,96
2022-2023 School Year,Scioto,049601,Clay Local,15
2022-2023 School Year,Tuscarawas,043778,Claymont City,41
2022-2023 School Year,Richland,049411,Clear Fork Valley Local,148
2022-2023 School Year,Lorain,048132,Clearview Local,<10
2022-2023 School Year,Clermont,046326,Clermont Northeastern Local,158
